Character,Pinyin,Hán Việt,Quảng Đông
旁边,páng biān,bàng biên,pong4 bin1
跑步,pǎo bù,bào bộ,paau2 bou6
便宜,pián yi,tiện nghi,bin6 ji6
票,piào,phiếu,piu3
起床,qǐ chuáng,khởi sàng,hei2 coeng4
妻子,qī zi,thê tử,cai1 zi2
千,qiān,thiên,cin1
晴,qíng,tinh,cing4
去年,qù nián,khứ niên,heoi3 nin4
让,ràng,nhưỡng,joeng6
上班,shàng bān,thượng ban,soeng6 baan1
身体,shēn tǐ,thân thể,san1 tai2
生病,shēng bìng,sinh bệnh,sang1 beng6
生日,shēng rì,sinh nhật,sang1 jat6
时间,shí jiān,thời gian,si4 gaan3
事情,shì qing,sự tình,si6 cing4
手表,shǒu biǎo,thủ biểu,sau2 biu2
手机,shǒu jī,thủ khố,so2 ho2
送,sòng,tống,sung3
所以,suǒ yǐ,sở dĩ,so2 ji5
它,tā,tha,taa1
题,tí,đề,tai4
踢足球,tī zú qiú,thích túc cầu,tek3 zuk1 kau4
跳舞,tiào wǔ,khiêu vũ,tiu3 mou5
外,wài,ngoại,ngoi6
完,wán,hoàn,jyun4
玩,wán,hoàn,wun6
晚上,wǎn shang,vãn thượng,maan5 soeng6
为什么,wèi shén me,vi thậm ma,wai4 sam6 mo1
问,wèn,vấn,man6
问题,wèn tí,vấn đề,man6 tai4
洗,xǐ,tẩy,sai2
西瓜,xī guā,tây qua,sai1 gwa1
希望,xī wàng,hy vọng,hei1 mong6
向,xiàng,hướng,hoeng3
笑,xiào,tiếu,siu3
小时,xiǎo shí,tiểu thì,siu2 si4
新,xīn,tân,san1
姓,xìng,tính,sing3
休息,xiū xi,hưu tích,jau1 sik1
雪,xuě,tuyết,syut3
眼睛,yǎn jing,nhãn tình,ngaan5 zing1
颜色,yán sè,nhan sắc,ngaan4 sik1
羊肉,yáng ròu,dương nhục,joeng4 juk6
药,yào,dược,joek6
要,yào,yếu,jiu3
也,yě,dã,jaa5
已经,yǐ jīng,dĩ kinh,ji5 ging1
一起,yì qǐ,nhất khởi,jat1 hei2
意思,yì si,ý tứ,ji3 si1
阴,yīn,âm,jam1
因为,yīn wèi,nhân vị,jan1 wai6
右边,yòu bian,hữu biên,jau5 bin1
游泳,yóu yǒng,du vịnh,jau4 wing6
鱼,yú,ngư,jyu4
元,yuán,nguyên,jyun4
远,yuǎn,viễn,jyun5
运动,yùn dòng,vận động,wan6 dung6
再,zài,tái,zoi3
早上,zǎo shang,tảo thượng,zou2 soeng6
张,zhāng,trương,zoeng1
丈夫,zhàng fu,trượng phu,zoeng6 fu6
找,zhǎo,tìm,zaau2
着,zhe,trước,zoek6
真,zhēn,chân,zan1
正在,zhèng zài,chính tại,zing6 zoi6
知道,zhī dào,tri đạo,zi1 dou6
准备,zhǔn bèi,chuẩn bị,zeon2 bei6
自行车,zì xíng chē,tự hành xa,zi6 hang4 ce1
走,zǒu,tẩu,zau2
最,zuì,tối,zeoi3
左边,zuǒ bian,tả biên,zo2 bin1
